Id,Name,Status,Followers,Views
30220059,ESL_SC2,RERUN: ShoWTimE vs. GuMiho [PvT] - Group D - IEM Katowice 2017,233265,75380804
71852806,OgamingSC2,Olimoleague Weekly  #134 ,79265,38973783
90401618,cretetion,Logging some Miles With My Pack,2812,37083
79776140,FreeCodeCamp,Some GoLang Today #go #golang #youtube,11771,216347
6726509,habathcx,Massively Effective,24,2622
54925078,RobotCaleb,Sabering,35,6684
82534701,noobs2ninjas,Doing some work and felt like streaming. Programming some objective-c.,974,55127
19571641,Ninja,Duos with Travis Scott!  See how you could squad up with us at smsng.us/NinjaGalaxySquad | !apparel | Follow my socials @Ninja,11343822,320594181
37402112,shroud,gaminxS @Shroud for updates!,4352191,206944462
39298218,dakotaz,TSM Dakotaz - instagram/twitter: @dakotaz,2625586,59728959
31239503,ESL_CSGO,RERUN: IEM Shanghai 2018,2475125,296624596
44445592,pokimane,See you guys soon! Follow my twitter & insta for updates!,2170913,43709758
38421618,TSM_Bjergsen,Monday stream as per usuallllllll!,1440737,91181335
38881685,boxbox,Mr. Challenger Climb I don't FEel so good,1389852,83498885
51950404,wtcN,Bıktım başlık yazmaktan | sümüklü | instagram.com/wtcnn,834344,35332694
19070311,A_Seagull,cozy,864185,24793514
43830727,KingGothalion,Raid. Day. Today.,875741,34100062
43356746,AmazHS,"✧AMAZ✧ It's me! =D | !MTGA #sponsored , Ravnica waiting stream...",894551,93073898
6768122,Jahrein,60 Parsecs uzay versiyonu | instagram.com/jahreinboss,935101,36168882
21130533,Nadeshot,The Return to Fortnite | 100 Thieves,948418,42710352
27686136,SivHD,"Siv HD messing around in WoW. the original FAML DWAML, your third or fourth favorite streamer - he is online, you saw it right.",993961,37815131
66691674,KingRichard,Fall Skirmish Practice #bushbandits @KingRichard !giveaway,1075328,17037876
